KAURIITEMCODE,BRAND,SHORTDESCRIPTION,CURRENCY,EARLYORDERPRICING,STANDARDPRICING,EARLYORDERPRICETOCUSTOMERAUS,STANDARDPRICETOCUSTOMERAUS,EARLYORDERPRICETOCUSTOMERNZ,STANDARDPRICETOCUSTOMERNZ,SIZE,SEASONING,BENDING,TOASTING,GRAIN,OAK,TERMS,BARRELMARKINGS1,BARRELMARKINGS2,LABELLINEI,LABELLINE2,LABELLINE3,LABELLINE4,LABELLINE5,LONGBARRELCODE,FULLDESCRIPTION,CURRENTLYAVAILABLE
6000,Saury,XT M,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Fire,M,Fine,French Oak,ex W,,M,6000,Saury,French Oak,XT M,customer name,Saury Bord Exp 225L M,Saury French Oak Bordeaux Export 225L Fire M,Y
6005,Saury,XT M TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Fire,M TH,Fine,French Oak,ex W,,M TH,6005,Saury,French Oak,XT M TH,customer name,Saury Bord Exp 225L M TH,Saury French Oak Bordeaux Export 225L Fire M TH,Y
6010,Saury,XT M+,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Fire,M+,Fine,French Oak,ex W,,M+,6010,Saury,French Oak,XT M+,customer name,Saury Bord Exp 225L M+,Saury French Oak Bordeaux Export 225L Fire M+,Y
6015,Saury,XT M+ TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Fire,M+ TH,Fine,French Oak,ex W,,M+ TH,6015,Saury,French Oak,XT M+ TH,customer name,Saury Bord Exp 225L M+ TH,Saury French Oak Bordeaux Export 225L Fire M+ TH,Y
6016,Saury,XT Lumiere,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Fire,Lumiere,Fine,French Oak,ex W,,Lumiere,6016,Saury,French Oak,XT Lumiere,customer name,Saury Bord Exp 225L Lumiere,Saury French Oak Bordeaux Export 225L Fire Lumiere,Y
6017,Saury,XT Lumiere TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Fire,Lumiere TH,Fine,French Oak,ex W,,Lumiere TH,6017,Saury,French Oak,XT Lumiere TH,customer name,Saury Bord Exp 225L Lumiere TH,Saury French Oak Bordeaux Export 225L Fire Lumiere TH,Y
6018,Saury,XT Lumiere+,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Fire,Lumiere Plus,Fine,French Oak,ex W,,Lumiere+,6018,Saury,French Oak,XT Lumiere+,customer name,Saury Bord Exp 225L Lumiere Plus,Saury French Oak Bordeaux Export 225L Fire Lumiere Plus,Y
6019,Saury,XT Lumiere+ TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Fire,Lumiere Plus TH,Fine,French Oak,ex W,,Lumiere+ TH,6019,Saury,French Oak,XT Lumiere+ TH,customer name,Saury Bord Exp 225L Lumiere Plus TH,Saury French Oak Bordeaux Export 225L Fire Lumiere Plus TH,Y
6030,Saury,XT Imm M,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Immersion,M,Fine,French Oak,ex W,,Immersion M,6030,Saury,French Oak,XT Imm M,customer name,Saury Bord Exp 225L Imm M,Saury French Oak Bordeaux Export 225L Immersion M,Y
6035,Saury,XT Imm M TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Immersion,M TH,Fine,French Oak,ex W,,Immersion M TH,6035,Saury,French Oak,XT Imm M TH,customer name,Saury Bord Exp 225L Imm M TH,Saury French Oak Bordeaux Export 225L Immersion M TH,Y
6040,Saury,XT Imm M+,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Immersion,M+,Fine,French Oak,ex W,,Immersion M+,6040,Saury,French Oak,XT Imm M+,customer name,Saury Bord Exp 225L Imm M+,Saury French Oak Bordeaux Export 225L Immersion M+,Y
6045,Saury,XT Imm M+ TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Immersion,M+ TH,Fine,French Oak,ex W,,Immersion M+ TH,6045,Saury,French Oak,XT Imm M+ TH,customer name,Saury Bord Exp 225L Imm M+ TH,Saury French Oak Bordeaux Export 225L Immersion M+ TH,Y
6046,Saury,XT Imm Lumiere,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Immersion,Lumiere,Fine,French Oak,ex W,,Immersion Lumiere,6046,Saury,French Oak,XT Imm Lumiere,customer name,Saury Bord Exp 225L Imm Lumiere,Saury French Oak Bordeaux Export 225L Immersion Lumiere,Y
6047,Saury,XT Imm Lumiere TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,Immersion Lumiere TH,6047,Saury,French Oak,XT Imm Lumiere TH,customer name,Saury Bord Exp 225L Imm Lumiere TH,Saury French Oak Bordeaux Export 225L Immersion Lumiere TH,Y
6049,Saury,XT Imm Lumiere+,Euro,843,860,1140,1180,1100,1125,Bordeaux Export 225L,2yr,Immersion,Lumiere Plus,Fine,French Oak,ex W,,Immersion Lumiere+,6049,Saury,French Oak,XT Imm Lumiere+,customer name,Saury Bord Exp 225L Imm Lumiere Plus,Saury French Oak Bordeaux Export 225L Immersion Lumiere Plus,Y
6048,Saury,XT Imm Lumiere+ TH,Euro,843,860,1160,1200,1120,1145,Bordeaux Export 225L,2yr,Immersion,Lumiere Plus TH,Fine,French Oak,ex W,,Immersion Lumiere+ TH,6048,Saury,French Oak,XT Imm Lumiere+ TH,customer name,Saury Bord Exp 225L Imm Lumiere Plus TH,Saury French Oak Bordeaux Export 225L Immersion Lumiere Plus TH,Y
6097,Saury,XT 3yr L,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Fire,L,Fine,French Oak,ex W,,3yr L,6097,Saury,French Oak,XT 3yr L,customer name,Saury Bord Exp 225L 3yr L,Saury French Oak Bordeaux Export 225L 3yr Fire L,Y
6098,Saury,XT 3yr L TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Fire,L TH,Fine,French Oak,ex W,,3yr L TH,6098,Saury,French Oak,XT 3yr L TH,customer name,Saury Bord Exp 225L 3yr L TH,Saury French Oak Bordeaux Export 225L 3yr Fire L TH,Y
6100,Saury,XT 3yr M,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Fire,M,Fine,French Oak,ex W,,3yr M,6100,Saury,French Oak,XT 3yr M,customer name,Saury Bord Exp 225L 3yr M,Saury French Oak Bordeaux Export 225L 3yr Fire M,Y
6105,Saury,XT 3yr M TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Fire,M TH,Fine,French Oak,ex W,,3yr M TH,6105,Saury,French Oak,XT 3yr M TH,customer name,Saury Bord Exp 225L 3yr M TH,Saury French Oak Bordeaux Export 225L 3yr Fire M TH,Y
6110,Saury,XT 3yr M+,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Fire,M+,Fine,French Oak,ex W,,3yr M+,6110,Saury,French Oak,XT 3yr M+,customer name,Saury Bord Exp 225L 3yr M+,Saury French Oak Bordeaux Export 225L 3yr Fire M+,Y
6115,Saury,XT 3yr M+ TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Fire,M+ TH,Fine,French Oak,ex W,,3yr M+ TH,6115,Saury,French Oak,XT 3yr M+ TH,customer name,Saury Bord Exp 225L 3yr M+ TH,Saury French Oak Bordeaux Export 225L 3yr Fire M+ TH,Y
6099,Saury,XT 3yr Lumiere,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Fire,Lumiere,Fine,French Oak,ex W,,3yr Lumiere,6099,Saury,French Oak,XT 3yr Lumiere,customer name,Saury Bord Exp 225L 3yr Lumiere,Saury French Oak Bordeaux Export 225L 3yr Fire Lumiere,Y
6117,Saury,XT 3yr Lumiere TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Fire,Lumiere TH,Fine,French Oak,ex W,,3yr Lumiere TH,6117,Saury,French Oak,XT 3yr Lumiere TH,customer name,Saury Bord Exp 225L 3yr Lumiere TH,Saury French Oak Bordeaux Export 225L 3yr Fire Lumiere TH,Y
6101,Saury,XT 3yr Lumiere+,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Fire,Lumiere Plus,Fine,French Oak,ex W,,3yr Lumiere+,6101,Saury,French Oak,XT 3yr Lumiere+,customer name,Saury Bord Exp 225L 3yr Lumiere Plus,Saury French Oak Bordeaux Export 225L 3yr Fire Lumiere Plus,Y
6102,Saury,XT 3yr Lumiere+ TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Fire,Lumiere Plus TH,Fine,French Oak,ex W,,3yr Lumiere+ TH,6102,Saury,French Oak,XT 3yr Lumiere+ TH,customer name,Saury Bord Exp 225L 3yr Lumiere Plus TH,Saury French Oak Bordeaux Export 225L 3yr Fire Lumiere Plus TH,Y
6133,Saury,XT 3yr Imm L,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Immersion,L,Fine,French Oak,ex W,,3yr Immersion L,6133,Saury,French Oak,XT 3yr Imm L,customer name,Saury Bord Exp 225L 3yr Imm L,Saury French Oak Bordeaux Export 225L 3yr Immersion L,Y
6134,Saury,XT 3yr Imm L TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Immersion,L TH,Fine,French Oak,ex W,,3yr Immersion L TH,6134,Saury,French Oak,XT 3yr Imm L TH,customer name,Saury Bord Exp 225L 3yr Imm L TH,Saury French Oak Bordeaux Export 225L 3yr Immersion L TH,Y
6135,Saury,XT 3yr Imm M,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Immersion,M,Fine,French Oak,ex W,,3yr Immersion M ,6135,Saury,French Oak,XT 3yr Imm M,customer name,Saury Bord Exp 225L 3yr Imm M ,Saury French Oak Bordeaux Export 225L 3yr Immersion M,Y
6140,Saury,XT 3yr Imm M TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Immersion,M TH,Fine,French Oak,ex W,,3yr Immersion M TH,6140,Saury,French Oak,XT 3yr Imm M TH,customer name,Saury Bord Exp 225L 3yr Imm M TH,Saury French Oak Bordeaux Export 225L 3yr Immersion M TH,Y
6145,Saury,XT 3yr Imm M+,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Immersion,M+,Fine,French Oak,ex W,,3yr Immersion M+,6145,Saury,French Oak,XT 3yr Imm M+,customer name,Saury Bord Exp 225L 3yr Imm M+,Saury French Oak Bordeaux Export 225L 3yr Immersion M+,Y
6150,Saury,XT 3yr Imm M+ TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Immersion,M+ TH,Fine,French Oak,ex W,,3yr Immersion M+ TH,6150,Saury,French Oak,XT 3yr Imm M+ TH,customer name,Saury Bord Exp 225L 3yr Imm M+ TH,Saury French Oak Bordeaux Export 225L 3yr Immersion M+ TH,Y
6151,Saury,XT 3yr Imm Lumiere,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Immersion,Lumiere,Fine,French Oak,ex W,,3yr Immersion Lumiere,6151,Saury,French Oak,XT 3yr Imm Lumiere,customer name,Saury Bord Exp 225L 3yr Imm Lumiere,Saury French Oak Bordeaux Export 225L 3yr Immersion Lumiere,Y
6152,Saury,XT 3yr Imm Lumiere TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Immersion,Lumiere TH,Fine,French Oak,ex W,,3yr Immersion Lumiere TH,6152,Saury,French Oak,XT 3yr Imm Lumiere TH,customer name,Saury Bord Exp 225L 3yr Imm Lumiere TH,Saury French Oak Bordeaux Export 225L 3yr Immersion Lumiere TH,Y
6153,Saury,XT 3yr Imm Lumiere+,Euro,865,883,1170,1210,1130,1155,Bordeaux Export 225L,3yr,Immersion,Lumiere Plus,Fine,French Oak,ex W,,3yr Immersion Lumiere+,6153,Saury,French Oak,XT 3yr Imm Lumiere+,customer name,Saury Bord Exp 225L 3yr Imm Lumiere Plus,Saury French Oak Bordeaux Export 225L 3yr Immersion Lumiere Plus,Y
6154,Saury,XT 3yr Imm Lumiere+ TH,Euro,865,883,1190,1230,1150,1175,Bordeaux Export 225L,3yr,Immersion,Lumiere Plus TH,Fine,French Oak,ex W,,3yr Immersion Lumiere+ TH,6154,Saury,French Oak,XT 3yr Imm Lumiere+ TH,customer name,Saury Bord Exp 225L 3yr Imm Lumiere Plus TH,Saury French Oak Bordeaux Export 225L 3yr Immersion Lumiere Plus TH,Y
6705,Saury,XTL225L M,Euro,843,860,1140,1180,1100,1125,Bord Exp Thinstave 225L,2yr,Fire,M,Fine,French Oak,ex W,,TS 225L M,6705,Saury,French Oak,XTL225L M,customer name,Saury Bord Exp TS 225L M,Saury French Oak Bord Exp Thinstave 225L Fire M,N
6706,Saury,XTL225L M TH,Euro,843,860,1160,1200,1120,1145,Bord Exp Thinstave 225L,2yr,Fire,M TH,Fine,French Oak,ex W,,TS 225L M TH,6706,Saury,French Oak,XTL225L M TH,customer name,Saury Bord Exp TS 225L M TH,Saury French Oak Bord Exp Thinstave 225L Fire M TH,N
6707,Saury,XTL225L M+,Euro,843,860,1140,1180,1100,1125,Bord Exp Thinstave 225L,2yr,Fire,M+,Fine,French Oak,ex W,,TS 225L M+,6707,Saury,French Oak,XTL225L M+,customer name,Saury Bord Exp TS 225L M+,Saury French Oak Bord Exp Thinstave 225L Fire M+,N
