GRP,ITEMID,ITEMDESC,WHCode,WHName,WHRegion,Desc3,ItemOrder1,ItemOrder2,ClipBd,Company,QtyOnHand,QtyOnPO,QtyOnSO,QtyAvailable
"Specialty Fats, NZ",1100,NCote 347 20kg ctns,AKL01,BDH,AKL,,0,0,,Kauri New Zealand Ltd,0,0,0,0
"Specialty Fats, NZ",1130,CBS ISFAT H2080 MB 20kg ctn,IND01,NZ Indent Orders,IND,CBS ISFAT H2080 MB 20kg ctn,0,0,,Kauri New Zealand Ltd,0,1070,0,1070
"Specialty Fats, NZ",1136,Coconut CBS 10kg Ctn,AKD01,Kauri Warehouse,AKD,Coconut CBS 10kg Ctn,0,0,,Kauri New Zealand Ltd,0,200,0,200
"Specialty Fats, NZ",1206,Confat 92 900kg IBC,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,16,0,0,16
"Specialty Fats, NZ",1206,Confat 92 900kg IBC,AKD01,Kauri Warehouse,AKD,Confat 92 900kg IBC,0,0,,Kauri New Zealand Ltd,0,0,-7,-7
"Specialty Fats, NZ",1210,Confat 92 20kg Carton,AKD01,Kauri Warehouse,AKD,,0,0,,Kauri New Zealand Ltd,26,0,0,26
"Specialty Fats, NZ",1210,Confat 92 20kg Carton,AKD01,Kauri Warehouse,AKD,Confat 92 20kg Carton,0,0,,Kauri New Zealand Ltd,0,6792,-6362,430
"Specialty Fats, NZ",1210,Confat 92 20kg Carton,CHC01,Bascik,CHC,,0,0,,Kauri New Zealand Ltd,100,0,0,100
"Specialty Fats, NZ",1210,Confat 92 20kg Carton,CHC01,Bascik,CHC,Confat 92 20kg Carton,0,0,,Kauri New Zealand Ltd,0,0,-50,-50
"Specialty Fats, NZ",1325A,RBD Coconut Oil Flexi w Heat Pad,IND01,NZ Indent Orders,IND,RBD Coconut Oil Flexi w Heat Pad,0,0,,Kauri New Zealand Ltd,0,42,0,42
"Specialty Fats, NZ",1403,CBR TF37 RSPO MB 20kg Ctn,AKD01,Kauri Warehouse,AKD,CBR TF37 RSPO MB 20kg Ctn,0,0,,Kauri New Zealand Ltd,0,40,-40,0
"Oils, Shortening, Marg",2100MW,Canola Oil 15L BIB With Tap (Moore Wilson),WGT01,Booths Transport Ltd,WGT,,0,0,,Kauri New Zealand Ltd,2640,0,0,2640
"Oils, Shortening, Marg",2100MW,Canola Oil 15L BIB With Tap (Moore Wilson),WGT01,Booths Transport Ltd,WGT,Canola Oil 15L BIB With Tap (Moore Wilson),0,0,,Kauri New Zealand Ltd,0,0,-1320,-1320
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),AKD01,Kauri Warehouse,AKD,As per attached Buying Specification,0,0,,Kauri New Zealand Ltd,424,0,0,424
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),AKD01,Kauri Warehouse,AKD,Canola Oil 4x5L PET (SUNNZ),0,0,,Kauri New Zealand Ltd,0,0,-6,-6
"Oils, Shortening, Marg",2105,Canola Oil 4x5L PET (SUNNZ),CHC01,Bascik,CHC,As per attached Buying Specification,0,0,,Kauri New Zealand Ltd,120,0,0,120
